image_name,target
ISIC_2566319,0.0036309492
ISIC_6617618,4.703788e-05
ISIC_1018102,0.0072997794
ISIC_2334999,0.00047517917
ISIC_1151651,0.014940244
ISIC_8841886,0.084255
ISIC_8555379,0.02882564
ISIC_1984442,0.081110455
ISIC_8284364,0.00042695444
ISIC_8352392,0.017829467
ISIC_1994545,0.00048027403
ISIC_7788318,0.32464463
ISIC_4214531,0.0046498845
ISIC_1048913,0.019167619
ISIC_8010877,0.02881293
ISIC_9157952,0.0027480419
ISIC_1161370,0.00035568094
ISIC_7376268,0.27717215
ISIC_6954577,0.00013639237
ISIC_3727005,0.011581434
ISIC_1555147,0.047303755
ISIC_7284377,0.038581945
ISIC_1603038,0.00034877122
ISIC_8937006,0.02444755
ISIC_2472655,0.012151503
ISIC_4311436,0.011482789
ISIC_0502419,0.0018144358
ISIC_4416817,0.023209568
ISIC_3786075,0.018790362
ISIC_5108732,9.273822e-05
ISIC_6712836,0.02316534
ISIC_2288896,0.012260703
ISIC_4307205,0.00028001596
ISIC_1080647,0.25617585
ISIC_9101501,0.00023282171
ISIC_1614712,6.0575403e-05
ISIC_6618799,0.021594211
ISIC_6713062,0.008494738
ISIC_9378153,0.00079715066
ISIC_1725019,0.039093338
ISIC_1761083,0.013945269
ISIC_1075054,0.010025972
ISIC_9627932,4.594934e-05
ISIC_5899408,3.6616508e-05
ISIC_1924949,2.6310745e-05
ISIC_8386532,0.02523826
ISIC_9978498,0.009628891
ISIC_7562764,4.898066e-05
ISIC_8764927,0.01669324
ISIC_1565890,0.0015957587
ISIC_2903423,0.0171712
ISIC_1067985,0.044421177
ISIC_0695575,0.047791686
ISIC_7947699,0.09980838
ISIC_5833015,0.011244885
ISIC_6546981,0.02065152
ISIC_8631304,0.00017619904
ISIC_5821715,8.0562255e-05
ISIC_2007864,0.04089118
ISIC_9821002,0.060748387
ISIC_5728413,0.014060736
ISIC_1422973,3.2092197e-05
ISIC_3084213,0.00052780536
ISIC_8628846,0.004548245
ISIC_8465531,0.0001709968
ISIC_6617044,0.014578662
ISIC_8607298,0.04426144
ISIC_2646829,0.3213493
ISIC_6669480,0.0003469419
ISIC_1479729,0.010814422
ISIC_8549063,1.0674928e-05
ISIC_4136832,0.020194743
ISIC_1318137,0.008645812
ISIC_7394293,0.00021065795
ISIC_1977026,0.00019762712
ISIC_3148533,0.00023699133
ISIC_2071418,0.11442901
ISIC_1352190,0.0038071608
ISIC_8865342,0.016929772
